Id,UserId,Name,Date,Class,TagBased
"26431616","324584","Good Answer","2018-01-03 10:21:51","2","False"
"26431617","1529630","Good Answer","2018-01-03 10:21:51","2","False"
"26431618","893","Great Answer","2018-01-03 10:21:51","1","False"
"26431619","919426","Great Answer","2018-01-03 10:21:51","1","False"
"26431620","1462775","Great Answer","2018-01-03 10:21:51","1","False"
"26431621","203130","Nice Question","2018-01-03 10:21:51","3","False"
"26431622","133212","Great Question","2018-01-03 10:21:51","1","False"
"26431623","8270735","Autobiographer","2018-01-03 10:21:51","3","False"
"26431624","5070121","Autobiographer","2018-01-03 10:21:51","3","False"
"26431625","5877490","Citizen Patrol","2018-01-03 10:18:47","3","False"
"26431626","6857863","Commentator","2018-01-03 10:21:51","3","False"
"26431627","8455121","Editor","2018-01-03 10:21:51","3","False"
"26431628","7113841","Editor","2018-01-03 10:21:51","3","False"
"26431629","7434590","Editor","2018-01-03 10:21:51","3","False"
"26431630","9167230","Editor","2018-01-03 10:21:51","3","False"
"26431631","8147505","Editor","2018-01-03 10:21:51","3","False"
"26431632","8505547","Editor","2018-01-03 10:21:51","3","False"
"26431633","3615547","Necromancer","2018-01-03 10:21:51","2","False"
"26431634","7899985","Peer Pressure","2018-01-03 10:21:51","3","False"
"26431635","8505547","Peer Pressure","2018-01-03 10:21:51","3","False"
"26431636","137474","Popular Question","2018-01-03 10:21:51","3","False"
"26431637","1921398","Popular Question","2018-01-03 10:21:51","3","False"
"26431638","5292235","Popular Question","2018-01-03 10:21:51","3","False"
"26431639","5493507","Popular Question","2018-01-03 10:21:51","3","False"
"26431640","1287834","Popular Question","2018-01-03 10:21:51","3","False"
"26431641","1616210","Popular Question","2018-01-03 10:21:51","3","False"
"26431642","3101777","Popular Question","2018-01-03 10:21:51","3","False"
"26431643","2805692","Popular Question","2018-01-03 10:21:51","3","False"
"26431644","2245776","Popular Question","2018-01-03 10:21:51","3","False"
"26431645","41875","Popular Question","2018-01-03 10:21:51","3","False"
"26431646","4542621","Scholar","2018-01-03 10:21:51","3","False"
